id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
8484746,09015713943002281001000000U2,300 GIMNASIO EN FORMACION,NA,713943,Centros de acondicionamiento físico del sector privado,6 a 10 personas,CALLE,MAESTRO ANTONIO CASO,AVENIDA,INSURGENTES CENTRO,CALLE,SADI CARNOT,CALLE,VALENTIN GOMEZ FARIAS,67,NA,NA,NA,NA,NA,COLONIA,SAN RAFAEL,NA,NA,NA,06470,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0697,003,NA,METAMORFOSISCORPORAL@GMAIL.COM,NA,Fijo,19.43451522,-99.15863739,2019-11
772351,09016713943000111000000000U1,32B GIMNASIO LUPITA TACUBAYA,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALZADA,DE BECERRA,VIADUCTO,PRESIDENTE MIGUEL ALEMAN,CALLE,HEROES DE 1810,AVENIDA,JALISCO,32,NA,NA,NA,NA,NA,COLONIA,TACUBAYA,NA,NA,NA,11870,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,1156,011,NA,NA,NA,Fijo,19.3990662,-99.18804825,2010-07
11008508,09015713943002941000000000U1,360 POLE DANCE,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,JOAQUIN VELAZQUEZ DE LEON,AVENIDA,RIBERA DE SAN COSME,CALLE,JOAQUIN GARCIA ICAZBALCETA,CALLE,MANUEL MARIA CONTRERAS,144,NA,NA,NA,NA,NA,COLONIA,SAN RAFAEL,NA,NA,NA,06470,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0678,014,5612023729,NA,NA,Fijo,19.44275186,-99.16480081,2024-11
11191476,09005713943005211000000000U7,5 GYM,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,BOULEVARD,TEMOLUCO,CALLE,CALLE DE LA BARRA,CALLE,CALLE DEL ATOLON,CALLE,ACUEDUCTO DE GUADALUPE,56,NA,NA,NA,NA,NA,COLONIA,RESIDENCIAL ACUEDUCTO DE GUADALUPE,NA,NA,NA,07279,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,039A,022,5540811293,DINA_FIVE@HOTMAIL.COM,NA,Fijo,19.52227459,-99.14420301,2024-11
916982,09012713943000641000000000U6,7 SEVEN SOCCER,FEDERACION MEXICANA DE FUTBOL 7 Y Y FUTBOL RAPIDO,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,5 DE MAYO,CERRADA,TERCERA 5 DE MAYO,CALLE,DILIGENCIAS,CARRETERA,FEDERAL MEXICO-CUERNAVACA,207,NA,NA,NA,NA,NA,PUEBLO,SAN PEDRO MÁRTIR,NA,NA,NA,14400,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,2009,022,5558496121,LOSPINOS_FUT7@YAHOO.COM.MX,NA,Fijo,19.25961316,-99.17212372,2014-12
9087199,09012713943002481000000000U5,7-7 FIT CLUB CARDIO,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,ADOLFO LOPEZ MATEOS,CALLE,LUIS ECHEVERRIA ALVAREZ,CALLE,TORIBIO DE ALCARAZ,CALLE,TORIBIO DE ALCARAZ,NA,SN,NA,NA,NA,NA,COLONIA,MIGUEL HIDALGO TERCERA SECCIÓN,NA,NA,NA,14250,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,2189,002,5520830525,NA,NA,Fijo,19.28462048,-99.20528019,2019-11
10923707,09016713943001652000000000U3,9 ROUND KICKBOXING FITNES,9ROUND KICKBOXING FITNES,713943,Centros de acondicionamiento físico del sector privado,6 a 10 personas,AVENIDA,HOMERO,CALLE,LUIS VIVES,CALLE,JAIME BALMES,AVENIDA,HORACIO,1730,A,NA,NA,NA,NA,COLONIA,POLANCO I SECCIÓN,NA,NA,NA,11510,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,0622,004,NA,CONTADO@9ROUND.MX,WWW.9ROUND.MX,Fijo,19.43669841,-99.20981134,2024-11
10162323,09008713943000881000000000U6,9 ROUND KICKBOXING FITNESS,DESARROLLADORA FIT,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,AVENIDA,SAN JERONIMO,CERRADA,SAN ANTONIO,CERRADA,EUCALIPTOS,CALLE,RIO CHICO,819,NA,NA,1,NA,NA,COLONIA,SAN JERÓNIMO LÍDICE,CENTRO Y PLAZA COMERCIAL,PLAZA PASAJE SAN JERONIMO,16,10200,09,Ciudad de México,008,La Magdalena Contreras,0001,La Magdalena Contreras,0086,007,NA,CONTACTO@9ROUND.MX,WWW.9ROUND.MX,Fijo,19.32944182,-99.21599187,2024-11
11128076,09015713943003051000000000U8,AAWAKE,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,COLIMA,CALLE,JALAPA,CALLE,TONALA,CALLE,TABASCO,220,NA,NA,NA,NA,NA,COLONIA,ROMA NORTE,NA,NA,NA,16700,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,1002,014,NA,NA,NA,Fijo,19.41917453,-99.16268519,2024-11
714415,09007713943003621000000000U5,ABC GIMNASIO,ALEXANDER BAEZ,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,2DA PRIVADA ERMITA IZTAPALAPA,CALLE,PASTORES,CALLE,ARROYO TLALOC,CALLE,ARROYO TLALOC,49,NA,NA,NA,NA,NA,COLONIA,AMPLIACIÓN RICARDO FLORES MAGÓN,NA,NA,NA,09820,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,3740,031,NA,NA,NA,Fijo,19.35157766,-99.10106193,2014-12
